device,subject,browser,android_cpu,android_mem
nexus6p,https-www-cnblogs-com,chrome,22.923401162790697,1298846.5
nexus6p,https-www-cnblogs-com,firefox,15.796060606060609,1242548.0967171718
nexus6p,https-www-bbc-com,chrome,19.572529644268776,1310457.2598814229
nexus6p,https-www-bbc-com,firefox,15.789393939393943,1253368.4989898992
nexus6p,https-www-accuweather-com,chrome,16.39795918367347,1319927.673015873
nexus6p,https-www-accuweather-com,firefox,19.294375000000002,1274872.3326388889
nexus6p,https-www-speedtest-net,chrome,29.459139784946238,1300599.9493727598
nexus6p,https-www-speedtest-net,firefox,22.05176470588235,1278835.1444444444
nexus6p,https-www-economist-com,chrome,28.69660714285714,1363872.925
nexus6p,https-www-economist-com,firefox,20.196338383838384,1251538.3131313133
nexus6p,https-www-psychologytoday-com,chrome,19.33858225108225,1303288.6444805195
nexus6p,https-www-psychologytoday-com,firefox,18.61322674418605,1265857.1790213177
nexus6p,https-www-science-org,chrome,26.760666666666665,1312290.0544444444
nexus6p,https-www-science-org,firefox,20.198636363636364,1281939.745
nexus6p,https-www-mirror-co-uk,chrome,18.80232558139535,1429610.5280771414
nexus6p,https-www-mirror-co-uk,firefox,23.011436170212765,1294055.2107712766
nexus6p,https-www-imdb-com,chrome,41.2407986111111,1361663.5196759258
nexus6p,https-www-imdb-com,firefox,16.089772727272727,1265927.75
nexus6p,https-www-investing-com,chrome,29.410576923076924,1316557.207692308
nexus6p,https-www-investing-com,firefox,20.203656126482212,1262168.644268775
