device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-science-org,chrome,176340.69653822883,1358040.5207437174
nexus6p,https-www-science-org,firefox,202913.66968056277,1309781.569000812
