device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-investing-com,chrome,90030.13175545688,1143055.7395247004
nexus6p,https-www-investing-com,firefox,67417.87422249703,1220049.4952656473
