device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-livejournal-com,chrome,170943.00679930532,1202760.2341889956
nexus6p,https-www-livejournal-com,firefox,156151.0856946846,1256606.93316053
