device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-bbc-com,chrome,230132.08599079898,1468915.706648153
nexus6p,https-www-bbc-com,firefox,170603.93841714255,1467689.4887859493
