device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-mirror-co-uk,chrome,51183.97912150775,1176330.0514449554
nexus6p,https-www-mirror-co-uk,firefox,121040.75404503946,1167785.7968475088
