device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-mirror-co-uk,chrome,96038.65791315935,2039829.336827275
nexus6p,https-www-mirror-co-uk,firefox,554781.9475318984,2078959.0966156158
