Experiment,Type,Webapp,Browser,CPU,Memory,Energy
5,With,bbc,firefox,37.81666667,1312322.367,90.37682593
6,With,bbc,firefox,36.40769231,1408113.538,112.2473255
7,With,bbc,firefox,27.69655172,1341657.517,84.77033406
8,With,bbc,firefox,30.38571429,1337941.179,92.47511664
9,With,bbc,firefox,29.67857143,1341871.929,88.76870488
10,With,bbc,firefox,49.025,1406825.708,112.8085461
1,With,cnblogs,chrome,12.87073171,1274791.951,92.71680214
2,With,cnblogs,chrome,22.12972973,1240417.297,76.90011709
3,With,cnblogs,chrome,19.39487179,1219598.564,74.94240738
4,With,cnblogs,chrome,14.15135135,1214280.757,72.34851969
5,With,cnblogs,chrome,19.34878049,1201629.39,69.87828882
6,With,cnblogs,chrome,15.6547619,1181474.905,66.65354479
7,With,cnblogs,chrome,23.96111111,1180463.889,89.15007141
8,With,cnblogs,chrome,23.97837838,1181174.378,69.15722772
9,With,cnblogs,chrome,21.08717949,1164422.897,71.04990894
10,With,cnblogs,chrome,16.16315789,1161047.211,73.18381613
1,With,cnblogs,firefox,23.58780488,1262854.756,114.3136697
2,With,cnblogs,firefox,9.428571429,1220580.629,83.85247615
3,With,cnblogs,firefox,19.74848485,1215971.485,82.57818203
4,With,cnblogs,firefox,29.87027027,1216846.514,81.54213573
5,With,cnblogs,firefox,15.34193548,1283608.29,100.7579421
6,With,cnblogs,firefox,23.9,1187195.029,85.52534313
7,With,cnblogs,firefox,29.75945946,1254805.919,81.15749773
8,With,cnblogs,firefox,20.25142857,1222300.429,74.98703848
9,With,cnblogs,firefox,18.9516129,1254728,89.48526717
10,With,cnblogs,firefox,13.17352941,1160613.294,75.01044722
1,With,imdb,chrome,37.81944444,1339069.417,163.8069527
2,With,imdb,chrome,33.16666667,1326797.667,146.794072
3,With,imdb,chrome,35.07857143,1332993.214,144.211447
4,With,imdb,chrome,61.43571429,1278897.429,152.1247557
5,With,imdb,chrome,58.96666667,1270713,146.3370796
6,With,imdb,chrome,59.93571429,1272272.286,142.8371214
7,With,imdb,chrome,59.07586207,1267282.345,150.7877675
8,With,imdb,chrome,62.22962963,1223749.741,143.9963229
9,With,imdb,chrome,69.01111111,1213913.074,152.7603308
10,With,imdb,chrome,57.47931034,1206463.379,153.6184659
1,With,imdb,firefox,25.36774194,1366251.516,98.27796654
2,With,imdb,firefox,39.57419355,1332577.935,102.0781297
3,With,imdb,firefox,31.265625,1321988.875,97.15968815
4,With,imdb,firefox,31.16875,1316254.5,91.73597919
5,With,imdb,firefox,38.13666667,1370457.667,98.19930329
6,With,imdb,firefox,42.75172414,1334690.103,104.1676946
7,With,imdb,firefox,38.71666667,1268650,103.5814363
8,With,imdb,firefox,37.29333333,1334623.533,105.5643875
9,With,imdb,firefox,34.45483871,1288973.548,101.4348622
10,With,imdb,firefox,41.57931034,1301219.138,114.0794436
1,With,investing,chrome,19.73684211,1263329.947,82.41221257
2,With,investing,chrome,24.67948718,1237268.308,74.90027113
3,With,investing,chrome,26.16153846,1272361.821,72.15597781
4,With,investing,chrome,25.90930233,1242447.721,75.92267322
5,With,investing,chrome,24.855,1211692.325,70.34125193
6,With,investing,chrome,23.88,1223433.5,70.9073552
7,With,investing,chrome,24.07631579,1248264.026,75.7547859
8,With,investing,chrome,18.94102564,1205310.564,76.50262537
9,With,investing,chrome,16.02051282,1191911.026,73.80176241
10,With,investing,chrome,26.03333333,1208068.758,83.46727567
1,With,investing,firefox,16.71388889,1427779.028,81.22222077
2,With,investing,firefox,9.554054054,1387160.297,72.68117962
3,With,investing,firefox,23.41081081,1338488.135,74.58824562
4,With,investing,firefox,24.55666667,1362119.533,97.99601773
5,With,investing,firefox,18.21621622,1341153.432,84.63892988
6,With,investing,firefox,17.940625,1630091.656,97.67499052
7,With,investing,firefox,20.53142857,1283397.543,82.96282027
8,With,investing,firefox,21.99459459,1315889.081,81.62182882
9,With,investing,firefox,29.25172414,1494802.069,98.28042798
10,With,investing,firefox,20.47575758,1371644.212,81.43686722
1,With,livejournal,chrome,13.1975,1323086.325,99.16852954
2,With,livejournal,chrome,20.99444444,1315355.306,77.70951373
3,With,livejournal,chrome,22.21,1298229.2,74.25799499
4,With,livejournal,chrome,26.21388889,1348332.778,75.27638958
5,With,livejournal,chrome,28.71515152,1363392.636,81.30296023
6,With,livejournal,chrome,15.015625,1357500.031,78.74940927
7,With,livejournal,chrome,28.41,1363364.367,83.50090189
8,With,livejournal,chrome,21.18333333,1353899.567,86.80349241
9,With,livejournal,chrome,23,1323379.703,70.67721546
10,With,livejournal,chrome,19.090625,1356307.938,80.21275114
1,With,livejournal,firefox,24.82068966,1315706.655,83.50251582
2,With,livejournal,firefox,23.47647059,1344479.412,85.38740881
3,With,livejournal,firefox,17.665625,1338520.875,86.83549168
4,With,livejournal,firefox,27.74545455,1320381.909,83.80059161
5,With,livejournal,firefox,22.3,1325742.032,87.45616685
6,With,livejournal,firefox,28.54,1311590.033,84.17161765
7,With,livejournal,firefox,21.171875,1331538.719,76.55040674
8,With,livejournal,firefox,36.17241379,1342206.034,84.7394262
9,With,livejournal,firefox,16.70625,1337695.094,76.27757649
10,With,livejournal,firefox,16.865625,1344547.344,77.49100639
1,With,mirror-co-uk,chrome,28.85789474,1193987.737,104.1270791
2,With,mirror-co-uk,chrome,19.92962963,1414071.704,155.1368997
3,With,mirror-co-uk,chrome,28.17777778,1424571.852,153.6639774
4,With,mirror-co-uk,chrome,24.72692308,1431806.692,150.8224743
5,With,mirror-co-uk,chrome,40.43846154,1440556.846,161.5344273
6,With,mirror-co-uk,chrome,33.944,1424798.32,153.3581332
7,With,mirror-co-uk,chrome,39.80416667,1430813.083,155.4463642
8,With,mirror-co-uk,chrome,30.4,1437463.583,156.1157295
9,With,mirror-co-uk,chrome,39.896,1413456.8,156.3040645
10,With,mirror-co-uk,chrome,30.344,1422820.04,153.7399417
1,With,mirror-co-uk,firefox,22.77333333,1158504.433,138.7066245
2,With,mirror-co-uk,firefox,20.50714286,1209511.964,153.5390831
3,With,mirror-co-uk,firefox,55.29166667,1209245.708,153.7366118
4,With,mirror-co-uk,firefox,45.332,1210010.28,152.3416278
5,With,mirror-co-uk,firefox,56.96153846,1199220.692,145.0126999
6,With,mirror-co-uk,firefox,60.636,1181126.92,152.2989401
7,With,mirror-co-uk,firefox,64.232,1209432.72,150.1326775
8,With,mirror-co-uk,firefox,72.275,1202129.833,158.5225589
9,With,mirror-co-uk,firefox,60.076,1157238.6,151.0124012
10,With,mirror-co-uk,firefox,75.82,1214370.76,154.5529034
1,With,psychologytoday,chrome,20.41632653,1180002.224,96.83827369
2,With,psychologytoday,chrome,28.69387755,1181938.959,89.79678571
3,With,psychologytoday,chrome,20.222,1227489.56,88.6054212
4,With,psychologytoday,chrome,12.79215686,1189910.098,86.32836498
5,With,psychologytoday,chrome,15.0106383,1181798.17,82.69427498
6,With,psychologytoday,chrome,17.45208333,1189179.583,82.7998081
7,With,psychologytoday,chrome,17.54468085,1184029.319,78.31777097
8,With,psychologytoday,chrome,13.86086957,1202732.065,77.47277481
9,With,psychologytoday,chrome,28.24339623,1222438.962,106.1247094
10,With,psychologytoday,chrome,24.31020408,1190363.633,84.85544392
1,With,psychologytoday,firefox,32.26842105,1292037.719,123.9400718
2,With,psychologytoday,firefox,28.20689655,1276137.983,104.5619382
3,With,psychologytoday,firefox,26.22264151,1302809.585,96.31658193
4,With,psychologytoday,firefox,17.34,1211738.98,90.20114717
5,With,psychologytoday,firefox,15.77954545,1225836.432,76.42219931
6,With,psychologytoday,firefox,15.82790698,1229253.605,76.28985328
7,With,psychologytoday,firefox,8.792857143,1208186.976,74.44982349
8,With,psychologytoday,firefox,16.60238095,1207254.286,74.23966892
9,With,psychologytoday,firefox,13.53255814,1224502.628,73.27358702
10,With,psychologytoday,firefox,17.25333333,1223560.578,89.36993723
1,With,science-org,chrome,22.09512195,1265422.756,72.12314938
2,With,science-org,chrome,19.89166667,1241872.333,73.74791593
3,With,science-org,chrome,27.77647059,1250459.882,78.60430744
4,With,science-org,chrome,20.26388889,1261812.028,68.74189848
5,With,science-org,chrome,18.77931034,1265809.69,80.28334199
6,With,science-org,chrome,25.46666667,1253427.389,67.49928764
7,With,science-org,chrome,19.47368421,1198308.763,71.40576734
8,With,science-org,chrome,11.55789474,1208669.368,71.14053996
9,With,science-org,chrome,15.51707317,1200979.683,70.02656368
10,With,science-org,chrome,24.1975,1204824.95,73.30653497
1,With,science-org,firefox,12.00731707,1390981.122,99.12195328
2,With,science-org,firefox,27.20571429,1354833.257,82.79932204
3,With,science-org,firefox,25.48611111,1405505.472,81.99308898
4,With,science-org,firefox,27.30909091,1380030.03,86.98645142
5,With,science-org,firefox,36.471875,1417452.781,90.90184204
6,With,science-org,firefox,19.38181818,1409020.364,92.29093212
7,With,science-org,firefox,23.22702703,1329293.432,77.30327919
8,With,science-org,firefox,26.23333333,1344188.767,108.8377142
9,With,science-org,firefox,29.65,1398181.056,82.07378479
10,With,science-org,firefox,26.41875,1344398.906,99.07779609
1,With,speedtest-net,chrome,15.07,1308725.567,111.315173
2,With,speedtest-net,chrome,11.68666667,1288689,119.7340306
3,With,speedtest-net,chrome,6.006896552,1291217.483,119.4660069
4,With,speedtest-net,chrome,27.34285714,1326338.286,124.4217374
