"Experiment","Type","Webapps name","Browser","CPU","Memory","Energy consumption"
6,"WithoutAdsAnalytics","https-www-livejournal-com","firefox","20.4238095238095","1269286.16666667","76.2232771975"
7,"WithoutAdsAnalytics","https-www-livejournal-com","firefox","19.1","1279647.43902439","77.4416236355"
8,"WithoutAdsAnalytics","https-www-livejournal-com","firefox","20.35","1284502.35714286","76.707095594"
9,"WithoutAdsAnalytics","https-www-livejournal-com","firefox","14.602380952381","1284819.33333333","76.27726579"
10,"WithoutAdsAnalytics","https-www-livejournal-com","firefox","11.0333333333333","1270535.8974359","73.674943439"
1,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","26.719512195122","1354300.7804878","83.26632653"
2,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","19.5473684210526","1341791.18421053","74.236811859"
3,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","24.2","1332331.64102564","78.675054883"
4,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","15.7657894736842","1328088.68421053","86.9627393825"
5,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","15.87","1337960.65","78.2960999225"
6,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","20.1682926829268","1333948.19512195","74.444283591"
7,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","19.8268292682927","1339948.2195122","72.200273122"
8,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","18.8846153846154","1346558.30769231","72.472757056"
9,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","22.61","1367081.275","78.254482519"
10,"WithoutAdsAnalytics","https-www-mirror-co-uk","chrome","22.3552631578947","1358602.23684211","77.125440145"
1,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","25.515","1281813.85","105.8213193225"
2,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","19.4270833333333","1258005.29166667","93.629098059"
3,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","24.6625","1270128.95","82.89482513"
4,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","19.0625","1287291.2","86.901641709"
5,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","24.8","1264098.92682927","74.0217217665"
6,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","25.6605263157895","1266348.44736842","70.6765340895"
7,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","23.574358974359","1279403.82051282","73.40042359"
8,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","26.0307692307692","1278662.12820513","69.567893794"
9,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","24.3837837837838","1278749.7027027","72.275427074"
10,"WithoutAdsAnalytics","https-www-mirror-co-uk","firefox","23.6","1280162.41176471","72.0866003775"
1,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","18.6906976744186","1180052.81395349","91.3451070545"
2,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","22.5555555555556","1172055.35555556","69.4507787765"
3,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","26.9568181818182","1171854.13636364","71.068470407"
4,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","22.8222222222222","1168523.53333333","82.0820970515"
5,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","21.8021276595745","1173294.82978723","71.100174877"
6,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","23.8489361702128","1179782.46808511","76.578368037"
7,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","24.8","1186574.59574468","75.9467033365"
8,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","23.2063829787234","1165221.70212766","71.6889749805"
9,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","16.8404255319149","1171604.70212766","76.4230485815"
10,"WithoutAdsAnalytics","https-www-psychologytoday-com","chrome","23.6127659574468","1170699.06382979","72.489421807"
1,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","21.0704545454545","1174970.13636364","91.6941766115"
2,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","17.4717391304348","1170423.7826087","76.1479364275"
3,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","19.9046511627907","1177542.11627907","75.1552224275"
4,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","18.0952380952381","1178647.23809524","74.084835675"
5,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","25.8428571428571","1184184.33333333","73.3395673025"
6,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","22.5780487804878","1187478.70731707","71.473431815"
7,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","20.193023255814","1194768.1627907","76.337324329"
8,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","23.993023255814","1179737.6744186","72.0940590615"
9,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","23.1181818181818","1188010.43181818","73.4451307975"
10,"WithoutAdsAnalytics","https-www-psychologytoday-com","firefox","19.4204545454545","1189694.27272727","70.550677149"
1,"WithoutAdsAnalytics","https-www-science-org","chrome","33.2790697674419","1266843.41860465","105.806100272"
2,"WithoutAdsAnalytics","https-www-science-org","chrome","26.2162790697674","1244386.41860465","100.3624771515"
3,"WithoutAdsAnalytics","https-www-science-org","chrome","29.102380952381","1238987.45238095","95.554967821"
4,"WithoutAdsAnalytics","https-www-science-org","chrome","26.78","1240483.4","95.5664540985"
5,"WithoutAdsAnalytics","https-www-science-org","chrome","12.4128205128205","1228254.97435897","91.413183453"
6,"WithoutAdsAnalytics","https-www-science-org","chrome","23.3720930232558","1232860.8372093","90.3094541755"
7,"WithoutAdsAnalytics","https-www-science-org","chrome","15.956","1231704.58","100.945003266"
8,"WithoutAdsAnalytics","https-www-science-org","chrome","18.7075471698113","1244901.41509434","91.6609213765"
9,"WithoutAdsAnalytics","https-www-science-org","chrome","9.58723404255319","1246499.17021277","89.0527829015"
10,"WithoutAdsAnalytics","https-www-science-org","chrome","16.3294117647059","1249016.88235294","91.7108765515"
1,"WithoutAdsAnalytics","https-www-science-org","firefox","20.1510638297872","1355661.89361702","98.884660931"
2,"WithoutAdsAnalytics","https-www-science-org","firefox","6.28461538461538","1415643.82051282","89.7482437265"
3,"WithoutAdsAnalytics","https-www-science-org","firefox","14.9833333333333","1409689.86111111","91.5497850945"
4,"WithoutAdsAnalytics","https-www-science-org","firefox","18.0833333333333","1420976.11111111","89.3215077405"
5,"WithoutAdsAnalytics","https-www-science-org","firefox","11.6820512820513","1394861.20512821","89.916423933"
6,"WithoutAdsAnalytics","https-www-science-org","firefox","15.9571428571429","1411397.19047619","98.6933429805"
7,"WithoutAdsAnalytics","https-www-science-org","firefox","12.8155555555556","1415465.73333333","96.404722761"
8,"WithoutAdsAnalytics","https-www-science-org","firefox","21.3851063829787","1416756.34042553","89.0475968855"
9,"WithoutAdsAnalytics","https-www-science-org","firefox","13.9953488372093","1430514.76744186","88.4488460985"
