device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-accuweather-com,chrome,177509.50181259724,1066638.1936789523
nexus6p,https-www-accuweather-com,firefox,170041.24373206083,1750724.482081119
