device,subject,browser,android_cpu,android_mem
nexus6p,https-www-cnblogs-com,firefox,20.500291492632314,1223949.517079039
nexus6p,https-www-bbc-com,firefox,29.853225522903085,1300302.6073283977
nexus6p,https-www-accuweather-com,firefox,27.98829168197027,1302543.7011858448
nexus6p,https-www-speedtest-net,firefox,33.49165903617178,1258481.5772363818
nexus6p,https-www-economist-com,firefox,35.34087484943989,1357104.998755852
nexus6p,https-www-psychologytoday-com,firefox,18.953522053726154,1260735.132016783
nexus6p,https-www-science-org,firefox,14.398113998840136,1437048.2166015045
nexus6p,https-www-mirror-co-uk,firefox,19.90411081931605,1291717.250534357
nexus6p,https-www-imdb-com,firefox,30.48496628197998,1450148.020582257
nexus6p,https-www-investing-com,firefox,26.27394982107676,1404252.7389298447
