device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-cnblogs-com,firefox,101253.972326913,1225333.1761946976
nexus6p,https-www-bbc-com,firefox,114598.25417896119,1284899.1051295723
nexus6p,https-www-accuweather-com,firefox,163772.3657271818,1290801.393256906
nexus6p,https-www-speedtest-net,firefox,900406.8003492805,2762778.0104614184
nexus6p,https-www-economist-com,firefox,145444.71463735067,1513918.4354668066
nexus6p,https-www-psychologytoday-com,firefox,70362.34751299814,1193839.6145132245
nexus6p,https-www-science-org,firefox,174843.45048158529,1281841.8876754073
nexus6p,https-www-mirror-co-uk,firefox,155903.98694330553,1262430.870070772
nexus6p,https-www-imdb-com,firefox,186354.235288115,1482204.2765883
nexus6p,https-www-investing-com,firefox,70916.19729586257,1292908.0329932985
